trade_id,quantity,underlying,expiry,payment_time,strike,call_put,type
77,10,UHAL,0.39719,0.40266,78,CALL,REGULAR
78,-10,AEZS,1.89339,1.89886,106,PUT,REGULAR
79,10,ASML,1.63527,1.64074,105,CALL,REGULAR
80,10,SSRX,3.52622,3.53169,98,PUT,ODD
81,-10,SSRX,3.5434,3.54887,126,CALL,REGULAR
82,10,PIH,3.54223,3.5477,26,PUT,REGULAR
83,10,JOBS,0.6352,0.64067,72,CALL,REGULAR
84,-10,AMCX,3.99445,3.99992,79,PUT,REGULAR
85,10,ACAD,0.70689,0.71236,111,CALL,REGULAR
86,10,ANIP,1.04895,1.05442,25,PUT,REGULAR
87,-10,ARMH,3.15189,3.15736,38,CALL,REGULAR
88,10,ARMH,2.49753,2.503,110,PUT,ODD
89,10,SWIN,4.43486,4.44033,127,CALL,REGULAR
90,-10,ADMA,4.91051,4.91598,46,PUT,REGULAR
91,10,ALJJ,4.93078,4.93625,67,CALL,REGULAR
92,10,ACNB,0.26185,0.26732,106,PUT,REGULAR
93,-10,ARCW,2.64006,2.64553,78,CALL,REGULAR
94,10,ASDR,4.6314,4.63687,109,PUT,REGULAR
95,10,UHAL,3.76831,3.77378,103,CALL,REGULAR
96,-10,TURN,1.42018,1.42565,60,PUT,ODD
97,10,AAON,0.38317,0.38864,119,CALL,REGULAR
98,10,ASBB,1.59634,1.60181,70,PUT,REGULAR
99,-10,ADTN,4.46247,4.46794,41,CALL,REGULAR
100,10,AMRK,0.96566,0.97113,149,PUT,REGULAR
101,10,ADTN,4.32474,4.33021,92,CALL,REGULAR
102,-10,EMDR,4.65643,4.6619,91,PUT,REGULAR
103,10,ASML,1.43807,1.44354,126,CALL,REGULAR
104,10,ANSS,0.83171,0.83718,37,PUT,ODD
105,-10,ACMR,3.15639,3.16186,122,CALL,REGULAR
106,10,ASML,3.71127,3.71674,103,PUT,REGULAR
107,10,ASDR,0.30172,0.30719,72,CALL,REGULAR
108,-10,FCCY,4.11979,4.12526,146,PUT,REGULAR
109,10,AEPI,0.22012,0.22559,46,CALL,REGULAR
110,10,FCTY,1.23438,1.23985,42,PUT,REGULAR
111,-10,ACIU,1.93687,1.94234,32,CALL,REGULAR
112,10,ACIW,2.53081,2.53628,104,PUT,ODD
113,10,SSRX,1.55073,1.5562,33,CALL,REGULAR
114,-10,ACAD,1.62407,1.62954,93,PUT,REGULAR
115,10,FUBC,0.43101,0.43648,140,CALL,REGULAR
116,10,AMAG,4.98271,4.98818,148,PUT,REGULAR
117,-10,ARIS,4.8817,4.88717,39,CALL,REGULAR
118,10,ARRS,1.49821,1.50368,55,PUT,REGULAR
119,10,TURN,4.81565,4.82112,79,CALL,REGULAR
120,-10,VNET,4.25599,4.26146,111,PUT,ODD
121,10,ARIS,3.05012,3.05559,30,CALL,REGULAR
122,10,ACAD,0.97156,0.97703,84,PUT,REGULAR
123,-10,ARIS,4.24314,4.24861,103,CALL,REGULAR
124,10,TURN,2.84129,2.84676,83,PUT,REGULAR
125,10,AMRK,4.1202,4.12567,54,CALL,REGULAR
126,-10,ANSS,3.38296,3.38843,88,PUT,REGULAR
127,10,FLWS,2.12325,2.12872,74,CALL,REGULAR
128,10,FCCY,3.71237,3.71784,43,PUT,ODD
129,-10,ANIP,3.8037,3.80917,32,CALL,REGULAR
130,10,AAON,3.04781,3.05328,75,PUT,REGULAR
131,10,SHLM,2.99602,3.00149,50,CALL,REGULAR
132,-10,VNET,4.83845,4.84392,55,PUT,REGULAR
133,10,ACAD,1.34655,1.35202,38,CALL,REGULAR
134,10,SSRX,4.22214,4.22761,124,PUT,REGULAR
135,-10,ADMA,2.36377,2.36924,29,CALL,REGULAR
136,10,ARCW,0.94468,0.95015,82,PUT,ODD
137,10,ARMH,2.35254,2.35801,119,CALL,REGULAR
138,-10,AAON,0.42166,0.42713,98,PUT,REGULAR
139,10,ACIU,1.38667,1.39214,142,CALL,REGULAR
140,10,ARCW,2.89029,2.89576,123,PUT,REGULAR
141,-10,ADMA,1.83089,1.83636,44,CALL,REGULAR
142,10,AAON,0.00988,0.01535,125,PUT,REGULAR
143,10,ARRS,3.92218,3.92765,22,CALL,REGULAR
144,-10,ABMD,2.89815,2.90362,92,PUT,ODD
145,10,FCCY,2.14411,2.14958,141,CALL,REGULAR
146,10,TWOU,1.78751,1.79298,65,PUT,REGULAR
147,-10,ANIP,0.26703,0.2725,77,CALL,REGULAR
148,10,SSRX,3.85266,3.85813,79,PUT,REGULAR
149,10,ADMA,4.12871,4.13418,104,CALL,REGULAR
150,-10,ALJJ,3.88641,3.89188,108,PUT,REGULAR
151,10,SHLM,1.38112,1.38659,89,CALL,REGULAR
152,10,ASBB,3.83539,3.84086,104,PUT,ODD
153,-10,EMDR,4.25953,4.265,121,CALL,REGULAR
154,10,VNET,1.58765,1.59312,142,PUT,REGULAR
155,10,AAON,2.21758,2.22305,70,CALL,REGULAR
156,-10,ASDR,4.50031,4.50578,44,PUT,REGULAR
157,10,ASV,2.50607,2.51154,20,CALL,REGULAR
158,10,ARCW,3.52518,3.53065,98,PUT,REGULAR
159,-10,ARIS,3.66763,3.6731,72,CALL,REGULAR
160,10,UHAL,1.07735,1.08282,41,PUT,ODD
161,10,SHLM,3.89231,3.89778,118,CALL,REGULAR
162,-10,ASDR,4.38656,4.39203,132,PUT,REGULAR
163,10,ADTN,0.87258,0.87805,149,CALL,REGULAR
164,10,SRCE,0.21167,0.21714,97,PUT,REGULAR
165,-10,ADTN,2.24704,2.25251,62,CALL,REGULAR
166,10,ARRS,4.73079,4.73626,112,PUT,REGULAR
167,10,RUDR,2.84168,2.84715,111,CALL,REGULAR
168,-10,ACNB,0.6964,0.70187,74,PUT,ODD
169,10,VNET,0.27727,0.28274,52,CALL,REGULAR
170,10,AMAG,0.86636,0.87183,94,PUT,REGULAR
171,-10,FCCY,1.37001,1.37548,103,CALL,REGULAR
172,10,AGNCB,3.58241,3.58788,98,PUT,REGULAR
173,10,ATNY,3.22647,3.23194,65,CALL,REGULAR
174,-10,ARCW,1.81571,1.82118,52,PUT,REGULAR
175,10,ARIS,2.16323,2.1687,46,CALL,REGULAR
176,10,ABMD,2.31985,2.32532,23,PUT,ODD
177,-10,SHLM,0.97381,0.97928,112,CALL,REGULAR
178,10,ABMD,3.97995,3.98542,30,PUT,REGULAR
179,10,ACAD,3.97511,3.98058,58,CALL,REGULAR
180,-10,SRCE,0.81458,0.82005,110,PUT,REGULAR
181,10,ACIW,0.04396,0.04943,88,CALL,REGULAR
182,10,ACMR,4.4131,4.41857,59,PUT,REGULAR
183,-10,SRCE,1.15838,1.16385,134,CALL,REGULAR
184,10,ADMA,0.9925,0.99797,87,PUT,ODD
185,10,TURN,2.88333,2.8888,128,CALL,REGULAR
186,-10,ANAD,3.37964,3.38511,74,PUT,REGULAR
187,10,ADMA,4.92196,4.92743,138,CALL,REGULAR
188,10,AEY,0.37569,0.38116,53,PUT,REGULAR
189,-10,PIH,4.9288,4.93427,150,CALL,REGULAR
190,10,SHLM,1.57382,1.57929,123,PUT,REGULAR
191,10,EGHT,1.5141,1.51957,131,CALL,REGULAR
192,-10,ASML,0.97146,0.97693,106,PUT,ODD
193,10,FLWS,2.27499,2.28046,146,CALL,REGULAR
194,10,ACMR,4.1294,4.13487,136,PUT,REGULAR
195,-10,CAFD,2.00273,2.0082,27,CALL,REGULAR
196,10,ACMR,0.12105,0.12652,93,PUT,REGULAR
197,10,SWIN,3.01225,3.01772,110,CALL,REGULAR
198,-10,FUBC,4.24453,4.25,130,PUT,REGULAR
199,10,AAON,4.76245,4.76792,87,CALL,REGULAR
200,10,TURN,3.47122,3.47669,139,PUT,ODD
201,-10,ACNB,3.00079,3.00626,26,CALL,REGULAR
202,10,SWIN,2.36154,2.36701,146,PUT,REGULAR
203,10,EMDR,4.56571,4.57118,20,CALL,REGULAR
204,-10,PIH,4.29483,4.3003,31,PUT,REGULAR
205,10,ARMH,1.38557,1.39104,104,CALL,REGULAR
206,10,ACAD,4.90513,4.9106,88,PUT,REGULAR
207,-10,ACMR,3.96082,3.96629,24,CALL,REGULAR
208,10,AMCX,0.11741,0.12288,80,PUT,ODD
209,10,TURN,2.20904,2.21451,120,CALL,REGULAR
210,-10,UHAL,4.35982,4.36529,125,PUT,REGULAR
211,10,ARCW,2.08686,2.09233,28,CALL,REGULAR
212,10,ASDR,1.9624,1.96787,25,PUT,REGULAR
213,-10,ASDR,1.19642,1.20189,59,CALL,REGULAR
214,10,ADMA,4.96352,4.96899,116,PUT,REGULAR
215,10,ACAD,2.11431,2.11978,26,CALL,REGULAR
216,-10,ARMH,2.89125,2.89672,32,PUT,ODD
217,10,ATNY,2.83327,2.83874,83,CALL,REGULAR
218,10,ATNY,0.12938,0.13485,76,PUT,REGULAR
219,-10,AAON,3.4036,3.40907,78,CALL,REGULAR
220,10,TWOU,0.72729,0.73276,45,PUT,REGULAR
221,10,ASV,0.45698,0.46245,100,CALL,REGULAR
222,-10,ANAD,2.91512,2.92059,104,PUT,REGULAR
223,10,VNET,1.16786,1.17333,58,CALL,REGULAR
224,10,FUBC,0.4947,0.50017,38,PUT,ODD
225,-10,JOBS,1.20503,1.2105,23,CALL,REGULAR
226,10,EGHT,1.68698,1.69245,142,PUT,REGULAR
227,10,ASML,1.87643,1.8819,126,CALL,REGULAR
228,-10,ASML,3.45032,3.45579,97,PUT,REGULAR
229,10,TWOU,1.04108,1.04655,99,CALL,REGULAR
230,10,ADTN,1.08167,1.08714,116,PUT,REGULAR
231,-10,FLWS,4.36793,4.3734,49,CALL,REGULAR
232,10,JOBS,1.2135,1.21897,48,PUT,ODD
233,10,ABMD,2.69867,2.70414,59,CALL,REGULAR
234,-10,AGNCB,3.77555,3.78102,144,PUT,REGULAR
235,10,AGNCB,4.80575,4.81122,73,CALL,REGULAR
236,10,TURN,2.15836,2.16383,31,PUT,REGULAR
237,-10,SRCE,1.4194,1.42487,51,CALL,REGULAR
238,10,AMAG,0.34088,0.34635,70,PUT,REGULAR
239,10,ATNY,2.09849,2.10396,149,CALL,REGULAR
240,-10,ASDR,3.66951,3.67498,45,PUT,ODD
241,10,ALJJ,4.33078,4.33625,62,CALL,REGULAR
242,10,AMRK,1.29616,1.30163,43,PUT,REGULAR
243,-10,ALJJ,3.49062,3.49609,133,CALL,REGULAR
244,10,ACNB,1.58252,1.58799,21,PUT,REGULAR
245,10,AMCX,0.71022,0.71569,107,CALL,REGULAR
246,-10,AEY,1.33652,1.34199,126,PUT,REGULAR
247,10,AMRK,0.8033,0.80877,68,CALL,REGULAR
248,10,UHAL,1.89673,1.9022,55,PUT,ODD
249,-10,ANSS,0.5705,0.57597,47,CALL,REGULAR
250,10,AGNCP,4.86832,4.87379,113,PUT,REGULAR
251,10,AEZS,0.67655,0.68202,66,CALL,REGULAR
252,-10,AGNCP,0.00129,0.00676,84,PUT,REGULAR
253,10,FCTY,2.29388,2.29935,21,CALL,REGULAR
254,10,AEPI,1.19813,1.2036,129,PUT,REGULAR
255,-10,ANAD,1.63055,1.63602,30,CALL,REGULAR
256,10,TWOU,2.9304,2.93587,142,PUT,ODD
257,10,EMDR,0.16307,0.16854,92,CALL,REGULAR
258,-10,AGNCB,1.63338,1.63885,80,PUT,REGULAR
259,10,ALJJ,0.66897,0.67444,25,CALL,REGULAR
260,10,ASV,2.9122,2.91767,88,PUT,REGULAR
261,-10,ACIU,0.09699,0.10246,101,CALL,REGULAR
262,10,ASML,1.67494,1.68041,63,PUT,REGULAR
263,10,FCCY,4.56914,4.57461,26,CALL,REGULAR
264,-10,ACAD,4.96477,4.97024,27,PUT,ODD
265,10,EGHT,2.04224,2.04771,73,CALL,REGULAR
266,10,AMCX,3.92063,3.9261,21,PUT,REGULAR
267,-10,TURN,1.31944,1.32491,87,CALL,REGULAR
268,10,ACNB,0.1556,0.16107,77,PUT,REGULAR
269,10,ALJJ,4.55088,4.55635,96,CALL,REGULAR
270,-10,ARCW,3.41951,3.42498,25,PUT,REGULAR
271,10,EMDR,0.29227,0.29774,116,CALL,REGULAR
272,10,AAON,4.15595,4.16142,129,PUT,ODD
273,-10,VNET,1.20805,1.21352,41,CALL,REGULAR
274,10,AGNC,2.20307,2.20854,146,PUT,REGULAR
275,10,JOBS,4.09846,4.10393,66,CALL,REGULAR
276,-10,JOBS,3.09058,3.09605,91,PUT,REGULAR
277,10,AAON,3.8014,3.80687,31,CALL,REGULAR
278,10,FCCY,1.44757,1.45304,94,PUT,REGULAR
279,-10,EMDR,4.47565,4.48112,124,CALL,REGULAR
280,10,AMCX,1.75655,1.76202,29,PUT,ODD
281,10,AEPI,2.97069,2.97616,85,CALL,REGULAR
282,-10,ASML,2.31312,2.31859,72,PUT,REGULAR
283,10,ACIW,3.59668,3.60215,49,CALL,REGULAR
284,10,AMCX,0.99815,1.00362,94,PUT,REGULAR
285,-10,TWOU,1.89369,1.89916,28,CALL,REGULAR
286,10,SRCE,3.59678,3.60225,102,PUT,REGULAR
287,10,AGNCP,1.70297,1.70844,70,CALL,REGULAR
288,-10,RUDR,4.9109,4.91637,124,PUT,ODD
289,10,SHLM,3.31222,3.31769,113,CALL,REGULAR
290,10,RUDR,1.50872,1.51419,130,PUT,REGULAR
291,-10,ARRS,3.85081,3.85628,131,CALL,REGULAR
292,10,ANIP,2.9713,2.97677,131,PUT,REGULAR
293,10,ACIW,3.65883,3.6643,134,CALL,REGULAR
294,-10,AMRK,0.71342,0.71889,27,PUT,REGULAR
295,10,ACNB,3.41622,3.42169,132,CALL,REGULAR
296,10,FCTY,3.20404,3.20951,146,PUT,ODD
297,-10,SSRX,3.24255,3.24802,140,CALL,REGULAR
298,10,ANIP,3.05784,3.06331,56,PUT,REGULAR
299,10,UHAL,0.37246,0.37793,123,CALL,REGULAR
300,-10,ASV,3.77791,3.78338,143,PUT,REGULAR
301,10,ANAD,2.67726,2.68273,28,CALL,REGULAR
302,10,ARIS,1.17695,1.18242,118,PUT,REGULAR
303,-10,AEPI,4.6698,4.67527,125,CALL,REGULAR
304,10,ANAD,3.81203,3.8175,129,PUT,ODD
305,10,ABMD,0.85652,0.86199,109,CALL,REGULAR
306,-10,ADMA,3.146,3.15147,77,PUT,REGULAR
307,10,ARIS,3.83273,3.8382,55,CALL,REGULAR
308,10,ACAD,0.22223,0.2277,95,PUT,REGULAR
309,-10,ASML,1.66938,1.67485,86,CALL,REGULAR
310,10,AEPI,0.65694,0.66241,83,PUT,REGULAR
311,10,AGNCP,0.58411,0.58958,57,CALL,REGULAR
312,-10,ADMA,4.78678,4.79225,23,PUT,ODD
313,10,ASBB,2.88254,2.88801,94,CALL,REGULAR
314,10,ACAD,1.20885,1.21432,116,PUT,REGULAR
315,-10,ARRS,0.66508,0.67055,132,CALL,REGULAR
316,10,AMRK,4.85264,4.85811,98,PUT,REGULAR
317,10,AEZS,0.77789,0.78336,137,CALL,REGULAR
318,-10,SWIN,2.69779,2.70326,31,PUT,REGULAR
319,10,AGNCP,0.5154,0.52087,150,CALL,REGULAR
320,10,ADMA,2.48061,2.48608,72,PUT,ODD
321,-10,AAON,1.48834,1.49381,45,CALL,REGULAR
322,10,ANSS,1.8389,1.84437,110,PUT,REGULAR
323,10,TURN,2.87263,2.8781,56,CALL,REGULAR
324,-10,ASDR,1.6456,1.65107,42,PUT,REGULAR
325,10,ASBB,0.14716,0.15263,108,CALL,REGULAR
326,10,AGNCP,2.49615,2.50162,145,PUT,REGULAR
327,-10,SHLM,3.12606,3.13153,148,CALL,REGULAR
328,10,ASML,4.43263,4.4381,68,PUT,ODD
329,10,SSRX,3.36905,3.37452,71,CALL,REGULAR
330,-10,PIH,4.61815,4.62362,32,PUT,REGULAR
331,10,AGNCB,2.37701,2.38248,62,CALL,REGULAR
332,10,ADTN,2.16336,2.16883,29,PUT,REGULAR
333,-10,VNET,2.1067,2.11217,122,CALL,REGULAR
334,10,JOBS,0.54147,0.54694,76,PUT,REGULAR
335,10,ANSS,2.08652,2.09199,79,CALL,REGULAR
336,-10,ABMD,1.56396,1.56943,71,PUT,ODD
337,10,SHLM,2.41727,2.42274,80,CALL,REGULAR
338,10,AGNCP,0.38237,0.38784,72,PUT,REGULAR
339,-10,ANSS,0.01702,0.02249,83,CALL,REGULAR
340,10,ARRS,1.63812,1.64359,108,PUT,REGULAR
341,10,ASDR,1.6788,1.68427,129,CALL,REGULAR
342,-10,AEY,1.24066,1.24613,32,PUT,REGULAR
343,10,ANSS,3.1264,3.13187,89,CALL,REGULAR
344,10,AGNCB,0.52791,0.53338,41,PUT,ODD
345,-10,AEY,1.49721,1.50268,67,CALL,REGULAR
346,10,SSRX,2.94078,2.94625,83,PUT,REGULAR
347,10,ASBB,3.49786,3.50333,70,CALL,REGULAR
348,-10,ALJJ,4.31007,4.31554,101,PUT,REGULAR
349,10,FLWS,2.84908,2.85455,47,CALL,REGULAR
350,10,FUBC,1.31815,1.32362,57,PUT,REGULAR
351,-10,UHAL,4.25222,4.25769,101,CALL,REGULAR
352,10,ASDR,2.10939,2.11486,76,PUT,ODD
353,10,ADMA,2.97595,2.98142,92,CALL,REGULAR
354,-10,AEY,2.98091,2.98638,24,PUT,REGULAR
355,10,AMAG,3.73856,3.74403,138,CALL,REGULAR
356,10,ASV,1.21073,1.2162,76,PUT,REGULAR
357,-10,CAFD,2.95062,2.95609,138,CALL,REGULAR
358,10,ASML,0.36349,0.36896,125,PUT,REGULAR
359,10,ACIW,2.24747,2.25294,51,CALL,REGULAR
360,-10,ABMD,0.44537,0.45084,139,PUT,ODD
361,10,AMCX,2.5335,2.53897,56,CALL,REGULAR
362,10,AEPI,0.50047,0.50594,96,PUT,REGULAR
363,-10,ARIS,0.68563,0.6911,138,CALL,REGULAR
364,10,ACNB,3.84011,3.84558,62,PUT,REGULAR
365,10,JOBS,2.33065,2.33612,34,CALL,REGULAR
366,-10,ARCW,0.60766,0.61313,32,PUT,REGULAR
367,10,SRCE,0.66116,0.66663,99,CALL,REGULAR
368,10,ANIP,1.53685,1.54232,135,PUT,ODD
369,-10,ADTN,3.62862,3.63409,56,CALL,REGULAR
370,10,ADTN,2.38509,2.39056,126,PUT,REGULAR
371,10,ADMA,0.25457,0.26004,133,CALL,REGULAR
372,-10,ASML,4.78264,4.78811,134,PUT,REGULAR
373,10,ACAD,2.00996,2.01543,26,CALL,REGULAR
374,10,AGNCP,0.68022,0.68569,84,PUT,REGULAR
375,-10,UHAL,0.93391,0.93938,102,CALL,REGULAR
376,10,ABMD,3.17919,3.18466,23,PUT,ODD
377,10,AEY,3.63149,3.63696,66,CALL,REGULAR
378,-10,ANIP,3.94618,3.95165,46,PUT,REGULAR
379,10,AMCX,4.28445,4.28992,91,CALL,REGULAR
380,10,PIH,3.7136,3.71907,112,PUT,REGULAR
381,-10,ACIW,2.53002,2.53549,28,CALL,REGULAR
382,10,ARMH,3.08746,3.09293,55,PUT,REGULAR
383,10,TWOU,3.43277,3.43824,21,CALL,REGULAR
384,-10,ARMH,3.17026,3.17573,134,PUT,ODD
385,10,ACMR,3.32688,3.33235,88,CALL,REGULAR
386,10,AGNC,3.9164,3.92187,101,PUT,REGULAR
387,-10,SWIN,3.5429,3.54837,83,CALL,REGULAR
388,10,EMDR,1.10615,1.11162,91,PUT,REGULAR
389,10,SWIN,2.43617,2.44164,122,CALL,REGULAR
390,-10,ACMR,3.44128,3.44675,123,PUT,REGULAR
391,10,TWOU,2.26896,2.27443,114,CALL,REGULAR
392,10,AGNCB,0.54635,0.55182,65,PUT,ODD
393,-10,ASDR,4.00186,4.00733,128,CALL,REGULAR
394,10,FCCY,4.00529,4.01076,132,PUT,REGULAR
395,10,JOBS,4.12718,4.13265,102,CALL,REGULAR
396,-10,FCTY,2.08548,2.09095,112,PUT,REGULAR
397,10,AEPI,1.81155,1.81702,21,CALL,REGULAR
398,10,ACAD,2.90432,2.90979,81,PUT,REGULAR
399,-10,SRCE,0.77742,0.78289,62,CALL,REGULAR
400,10,ACIW,4.83683,4.8423,109,PUT,ODD
401,10,ABMD,2.36967,2.37514,110,CALL,REGULAR
402,-10,AAON,0.19469,0.20016,74,PUT,REGULAR
403,10,ASDR,2.55997,2.56544,69,CALL,REGULAR
404,10,AEY,1.17758,1.18305,143,PUT,REGULAR
405,-10,ANSS,1.95163,1.9571,84,CALL,REGULAR
406,10,ANAD,4.99327,4.99874,53,PUT,REGULAR
407,10,AAON,1.17173,1.1772,109,CALL,REGULAR
408,-10,ADTN,0.93591,0.94138,49,PUT,ODD
409,10,ASV,0.7342,0.73967,137,CALL,REGULAR
410,10,EGHT,4.82924,4.83471,48,PUT,REGULAR
411,-10,AAON,2.9114,2.91687,72,CALL,REGULAR
412,10,FCCY,2.73478,2.74025,107,PUT,REGULAR
413,10,FLWS,1.31628,1.32175,67,CALL,REGULAR
414,-10,SHLM,3.66261,3.66808,147,PUT,REGULAR
415,10,ANIP,1.52791,1.53338,41,CALL,REGULAR
416,10,ADTN,0.57978,0.58525,98,PUT,ODD
417,-10,AMRK,3.77291,3.77838,23,CALL,REGULAR
418,10,FLWS,3.81694,3.82241,115,PUT,REGULAR
419,10,ASML,4.86399,4.86946,71,CALL,REGULAR
420,-10,AEZS,3.57877,3.58424,135,PUT,REGULAR
421,10,AGNCB,4.3344,4.33987,70,CALL,REGULAR
422,10,AEZS,3.5177,3.52317,38,PUT,REGULAR
423,-10,ANIP,0.93091,0.93638,115,CALL,REGULAR
424,10,ABMD,1.82426,1.82973,104,PUT,ODD
425,10,ASML,3.7043,3.70977,129,CALL,REGULAR
426,-10,ALJJ,4.13356,4.13903,82,PUT,REGULAR
427,10,AMAG,4.51149,4.51696,92,CALL,REGULAR
428,10,ARCW,3.84404,3.84951,41,PUT,REGULAR
429,-10,ARRS,2.23533,2.2408,42,CALL,REGULAR
430,10,ARRS,0.2212,0.22667,100,PUT,REGULAR
431,10,AEZS,0.19632,0.20179,110,CALL,REGULAR
432,-10,AAON,2.21316,2.21863,104,PUT,ODD
433,10,AMAG,2.77863,2.7841,97,CALL,REGULAR
434,10,SSRX,3.24592,3.25139,150,PUT,REGULAR
435,-10,ATNY,4.01109,4.01656,62,CALL,REGULAR
436,10,AAON,2.51085,2.51632,89,PUT,REGULAR
437,10,ASML,0.90781,0.91328,63,CALL,REGULAR
438,-10,ADMA,3.88818,3.89365,131,PUT,REGULAR
439,10,ANSS,0.82077,0.82624,59,CALL,REGULAR
440,10,ADTN,1.0794,1.08487,33,PUT,ODD
441,-10,ASML,2.33971,2.34518,42,CALL,REGULAR
442,10,ARMH,3.34364,3.34911,146,PUT,REGULAR
443,10,TWOU,2.11229,2.11776,39,CALL,REGULAR
444,-10,FCTY,1.23796,1.24343,89,PUT,REGULAR
445,10,SHLM,3.53378,3.53925,108,CALL,REGULAR
446,10,PIH,4.83817,4.84364,39,PUT,REGULAR
447,-10,ADTN,0.99798,1.00345,88,CALL,REGULAR
448,10,EGHT,4.27358,4.27905,117,PUT,ODD
449,10,FLWS,0.50951,0.51498,36,CALL,REGULAR
